Metadata_broad_sample,Metadata_solvent,Metadata_Plate,Metadata_Well,Metadata_InChIKey,Metadata_pert_iname,Metadata_pubchem_cid,Metadata_gene,Metadata_pert_type,Metadata_control_type,Metadata_smiles,Metadata_labels,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127
BRD-K70586315-001-02-4,DMSO,BR00117013,P06,CXUCKELNYMZTRT-UHFFFAOYSA-N,1-EBIO,82320.0,KCNN1,trt,,CCn1c2ccccc2[nH]c1=O,0,0.48234099425779714,0.8476790315056493,-1.5334038746240792,47.090786575305096,-0.6779219653587921,1.3049060145971054,0.9939648100681039,1.0437010483856026,-1.7235857448400522,-0.9127437648428508,-1.1362124534848899,1.8373831884059297,-0.2497913307323993,-0.20632232160363537,-1.6733150443961406,0.5994236807040174,-0.6808294135491157,0.4250421774012502,-0.05397581533755648,0.5323861578215414,0.5600600227310499,-0.5680932506989125,1.1019784197816458,-0.9242919987321816,-0.34973448075533864,-0.6101923242590477,0.11877761908540826,-0.6949535381965236,1.520987198972694,0.006085094699450656,0.7152719675492004,0.1706628023482813,-0.09416220708927191,-0.8796137097942304,-1.2270500947881786,-0.755311552599933,0.33505767993546526,-1.1514770739476767,-0.6843677598657539,-0.24260252831381945,-0.5431560795449956,-1.552041191058165,-0.7850811691517394,-0.47210999887302646,0.955696891746804,-0.6817456359307983,1.069818205290596,0.751461546185801,0.5255393682411339,0.5911961743948787,-0.5558260139692922,-1.1564058867789977,-1.047239459040589,0.04242636049415166,-0.6458975046340737,0.7701975687732153,-0.19787606624741755,0.7546911543569043,0.318715411198845,1.07719894970079,0.07436629014507552,1.3349508013405806,-1.0425765485621015,-0.7643535558828497,-0.09612797321026803,-0.25606308612977674,-1.3009280916529118,-1.3778227964444787,-0.6479467425317263,-0.2372583458108742,-0.5713769980757898,-0.4532757925367755,0.6395943578138784,0.43227332953613135,-0.3249822173528533,-0.7278598375170015,0.8130167805615922,-1.7384413430233823,0.29472173650982203,0.6498641514257066,-0.29585626265324666,0.05242531394870924,0.22461949603303072,-0.44835685195874303,35.373487126294755,-0.5794460253780916,0.7650142182686581,0.9725589622635096,0.7311920032106558,-1.369437398928129,-0.18140457715035962,-0.199435918755016,0.8414458998236406,0.8727073495998324,-0.5513918149522002,112.48427294252436,-0.47943147879295445,-0.6380350991755449,-0.015156537299654996,-0.6817444268012589,-0.5558430697099959,0.5754676671657941,-0.6432640812078165,-0.4257091724289622,0.5876102359267515,0.7475996794449061,-0.9684935042517189,0.5482462274717909,-1.0195988863186605,-0.9289793204584291,-1.1245672538597522,-0.411139821589429,47.03202222628976,-0.08156986011728203,0.6771936139183438,1.568797305197766,0.7100001759355294,-0.9808218677887486,0.9651845109719032,1.3135135328927054,0.6244062268141217,0.3666596386338917,-0.9807648636053865,-0.6741687522492,0.5678305310676427,0.6988296256787403,-0.032280654481594576,-1.0044614341262272
BRD-K09338665-001-08-9,DMSO,BR00117013,I24,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1-octanol,957.0,GJB4,trt,,CCCCCCCCO,1,0.9740471961096782,-0.1903204873116032,-0.8500764609719088,6.948581413033232,-0.6783755560599182,0.3739171367404017,0.3883506885971849,58.89501866793075,-0.8341798112698593,0.21485829638583331,-0.206279697450424,1.4148171575543664,0.09338400411188146,-1.0792138989673563,-0.41588212545257,0.8982269513151969,0.21956772861964433,-0.0810913151797111,-0.8949440974420974,0.4712210197177429,0.8402191664438158,0.9879168716972873,1.6047169395319474,-1.7184973372437218,0.0786953130964732,-0.5489217277922505,0.41291971092986335,-0.3527122596450303,0.6278692642125328,0.1681122614325746,-0.19303900957956957,-0.09160441161785145,0.8406661133756054,-0.11600591472930741,0.2501534266311063,-0.44901457894831204,0.39116757837765903,-1.3486502295022134,-0.6623699863739526,-0.15747487617740324,-0.028052143064242394,-0.6676364722626211,-0.1429966643964578,-0.1251057236713957,0.3869184970880821,-0.6727722410624641,-0.3210091505117567,0.44610299520826324,0.11012142432326481,-0.17154208275848434,-0.03823543778588802,-0.3925476724359102,-0.16392763470374697,-0.5006233794701935,0.021599767406487544,-0.29913317929357175,-0.8331963466549516,0.847413565032222,0.05697792603933727,0.03950552899816887,0.44153994799435076,0.5271443383524897,-0.2659718672710756,-0.11944324039032549,0.0979998919926067,-0.18817933299954373,-0.5120565619722052,-0.8214585422071021,0.5379193772211006,0.5901603144162808,-1.570993434852641,-0.34648969565620474,0.5675456750486219,-0.023225491625875658,0.6657835224165191,-2.479215396316217,0.25380043106608086,-0.060041303858015926,0.15892536477953667,1.5779446258490195,-0.9942971204289225,-0.058083711005283485,-0.6662035875395311,0.15590488327526245,14.303737551824481,-0.6691695592320641,1.3219113009947594,0.994857937083849,0.7070285184331577,-1.1065110525468798,-0.28779648461930235,-0.0826893345238403,0.9763217283333048,0.347878449353947,-0.39070743603301245,44.757930783677644,0.012004993791352513,-1.0334709726661782,0.679586696178052,-0.6740231623359345,-0.523468061989846,0.736421069655157,-0.29397520364626234,-0.21833393110491378,-0.9458396190722553,0.3027643961576723,-0.2754164649802594,0.1379405887872182,-1.1499703397952785,-0.9584489778903221,-1.7550888748164633,-0.19491613341965694,-0.15673857811409592,-0.8765055868144446,0.8371908387417552,1.2810227701882635,-0.03280092031471948,-0.46185735248174314,0.5480680692933952,0.7541706794603082,0.4006219210975263,0.830636388648236,-0.5305761535824578,-0.6743064006674104,1.2282161926621253,1.0370340725958007,-0.12923299534629026,-0.6994323318557126
BRD-K29791386-001-01-8,DMSO,BR00117013,G12,DSLRVRBSNLHVBH-UHFFFAOYSA-N,"2,5-furandimethanol",74663.0,HBB,trt,,OCc1ccc(CO)o1,2,-0.23759497022146067,0.29294863662342274,-0.9164545930880477,-0.19493468988140925,-0.6627270822401414,1.3154168324899804,1.099708239375592,-0.2417376984124883,-0.5312434021261281,-0.05784344663463131,-0.08373867792686207,-0.33696935706049175,-2.6055284944312986,1.1972282639325393,-1.3636279893388663,-1.6932452593207408,2.445051005154113,0.5804967638247788,1.587449689948323,-0.506258506390908,0.6582349410058124,-0.6325029210552902,-0.17046502778035835,-0.2506190079053115,-0.41524584084770666,-0.5051188207808223,-1.3819036253450494,-0.39477896450515676,-0.04685574135335564,1.0803304593078351,-0.2711832926095733,0.3102389391497597,1.130791335479406,-1.1199255024032764,-0.6227523151403854,-0.01164700640903871,-1.413297666879833,0.6177815880312365,0.3862322038831278,-0.012598411206683854,0.0335406678180235,-1.6061959323924504,0.089797192077706,-0.05176399680407536,0.3110278108083926,-0.28365373450858017,-0.6404339356216417,2.6191241150319815,-1.1676336273246484,0.12975311534222164,0.26354487096043294,-0.7185969041106325,-0.3693683212816472,0.8858549787140997,-0.7896675018207496,-0.4441021426006235,51.592723533946256,-0.581523929628686,-1.08777321303787,-0.09314649944278854,-0.4613492582679746,-0.26881971319034614,-0.6653717056323321,0.6382385125866828,-0.8724485989729286,-0.4818332808700536,-0.7680981190898932,-0.35297737864995177,-0.6072808292003714,-0.6852094015558644,2.2055931799787216,0.2196633442207748,-1.4397990326570955,-0.49240227663081987,1.5846292627345306,-1.1607823183355048,-0.9249774819466053,0.24536138271909852,-1.8545030680660088,0.5606666007233896,-2.1866401002777787,-0.2432527470783141,-0.5037796042057083,0.18234509195657142,-0.9816717868362435,-0.6649049580568248,-1.7958004949914372,-0.7686565421746517,0.3255888082383101,0.03215140529293276,25.25569735997924,11.68804850319981,-0.26042270381197863,0.939969336400478,27.990791545779206,-0.1288635083628392,0.47984110751442594,0.601471020346818,0.02715478309196712,-0.2709975086013136,-1.2560440929911072,0.5851712710083915,-0.8258971385652996,-0.09119471364810719,-1.9850218973561857,-0.4315687184821747,-0.22174700298711833,-0.028724644812306282,-1.5801903031249267,2.589336182038371,0.3745504547867398,0.1202742311612731,33.02542640063256,1.912718519468815,-0.36915464015735083,-0.22721962010825678,-0.6056814822165119,-0.8552492512368939,-0.9600849007025846,0.8658018857997921,-1.7042801693219412,-2.500534543688054,-1.5048794425540892,-0.6393568907015525,1.4038702331154438,-0.6826199393166541,-0.9682842102192292,35.80525668241373
BRD-K77087341-001-02-4,DMSO,BR00117013,H02,UPWGQKDVAURUGE-KTKRTIGZSA-N,2-Oleoylglycerol,5319900.0,GPR119,trt,,CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO,3,0.011273257404763481,-0.7081787497013765,-0.6159363683490499,49.78613120963585,-0.6881193102205695,0.7197758408200832,0.2504741713319988,59.63454416875712,-0.8510981669877474,-0.7785056091937854,-0.19924279681590557,0.8070132280911786,-0.1383677744441808,0.3882264549179357,-0.603279963425545,-0.350885598628255,0.22573929751250887,1.19658368598213,0.30385050017330445,0.8953093631757288,0.7313482357249836,-0.5563819380344157,1.4657885140844646,-1.9140191233073813,-0.5649369100110407,-0.6148691738986044,-0.07629164009946426,-0.7180703793211799,0.24341251601953692,0.3784260948038713,0.018444583368853084,0.34141115919969345,0.9790431519133349,-1.105391270776721,-0.6640885914574303,-0.7036591384312635,0.8298728600609719,-0.8892974795512156,-0.6660712321217339,-0.26291364671964856,-0.5936657982598975,-1.04977232872581,0.2856926441478362,0.6741318265290964,0.8181946128940356,-0.6823470568568422,0.333365854988333,-0.12942952667568824,-0.19664526350484166,-0.847686564138399,-0.0900918157126587,-1.2834730594832506,-1.1836058291182474,1.232221762049251,-0.2601995154083272,0.4808528171199819,-0.3238954790289907,0.7991786405953908,-1.130175505297629,1.0409250943319561,-0.1617174220932626,0.6088737086716263,-1.0406170738447462,-0.2139991970633453,0.15156646814259,-0.29095652374381464,-0.25182039574425463,-1.014684104098704,-0.5182425156854705,-0.4837105498777467,-0.23449322555428576,-0.10915399651838956,-0.42249230141084115,-0.672160783658229,0.6361509257286314,-2.8687482860721407,0.26053409414530304,-1.1473629203136442,-0.4968107857901825,1.4550757655369517,-1.1029994493128135,0.27443472446859296,-0.6744957589380092,0.5135535742382811,0.8990581953464316,-0.7022522694523212,0.9580510497278945,0.9451750876737898,1.6935058848471256,-1.366355548537924,-0.2622124799721176,-0.2388375537751129,0.6919267727191428,0.715070391795265,-0.6328254237455433,32.507529635089355,-0.514533146291661,-0.8144515171284112,-0.9647194219694112,-0.6845813263985007,-0.6948068896386858,1.3274838443096961,-0.3451304128753375,-0.3902061358009261,-1.807153040595203,0.08703368147813693,-0.9195887906103605,0.8241273342423229,-1.3352571084034857,0.24329207642561604,-0.4701224142913615,-0.6431234744821368,44.96877583136247,-0.8043272279811282,-1.1105521608932127,0.794172739466255,0.2654552932986872,-0.8447056013379171,0.369525214826036,1.8605954970289809,-0.017458676802024894,-0.14358506785212735,-1.8503868147102818,-0.680794305503335,102.92684447791086,0.9666361337035602,-0.9686466477826092,-0.7869289277551366
BRD-A54139254-001-09-2,DMSO,BR00117013,C01,AZYDQCGCBQYFSE-UHFFFAOYSA-N,4-CMTB,4307600.0,FFAR2,trt,,CC(C)C(C(=O)Nc1nccs1)c1ccc(Cl)cc1,4,1.763555733227467,-0.05036748404675323,-0.656044232519385,42.88303497414592,1.2722909771841884,0.2597677429276594,1.1806022441548467,50.82796415163668,-0.6153379470152345,-0.9125447699921782,-0.16780668132073498,0.05002774140834084,-1.156053026348317,-2.021708338498354,0.14561106698248433,56.83440433034126,-0.6483817895244302,0.6733191275649195,0.9554859841859004,69.50486093095081,1.9019841831734694,-0.6827652298734346,1.6895604337234065,-0.6403314868202172,4.476435788993016,-0.6761910377236545,-1.116118449971983,-0.15387515081963582,-1.0515068645624737,1.368441411699086,-1.1722945642352804,2.0324327065763,-0.9470208011920198,-0.029946632056767522,0.044463074115206114,-1.4658379609669976,1.3021142715343026,-0.13708292549369921,-0.6877701806465113,-0.6468556083742194,-1.4654331978959216,-1.3357494964728605,-2.0438064763992334,0.9579697856163231,2.1982313272259417,-0.6769636575655914,1.3343296057773921,0.9223157629646811,-1.1573138228379385,-0.6263178680703251,-0.6459290756925647,-0.5471764063883038,-1.3530788521048083,-0.004720480450734287,-0.17077805243900038,65.34053611404607,-0.053243491512559256,0.37722474182076077,-1.1584548348525516,1.06315196919047,-0.8052786551184974,2.31062068885847,-1.5448152284287548,-1.7413187774148053,-0.8168115103900665,-1.2162904047853382,-1.822842523868664,0.12267948621171786,0.3148371756130865,-0.6762519395843075,0.4748255892569513,-1.4407009672487299,1.3794762917570795,0.7133134652500939,-2.08876455748779,-0.43187245242172634,1.0930862680975209,-0.4183822415396764,-1.4187909928782843,0.20199581397664934,-1.7925090366205496,1.327008685354551,0.6614682882393934,-1.9978364535829032,19.63109007132123,-0.6668041987472338,0.3537996340865048,2.0859357730628156,0.9756134640652601,-1.3647999997868903,-1.2661698255178828,-0.8616317027229665,1.7562445674732219,-0.1924702608672079,-0.5998062619605091,85.7828590668854,-1.928463135236087,29.497789969020037,1.6015470334903608,-0.6802365603058969,-1.2404576827184919,0.37539794014647815,64.87757204301573,1.9229729122010366,0.06880818435313883,0.734095548101425,-1.7229632505936665,0.7813526949012323,-0.6945912182066541,-0.6867139204959054,-1.1063411719755682,-0.9882070734608615,-0.6356598873101152,-0.47100437181671656,0.566600852958458,1.235967374250967,-1.561390953787031,-1.2405573641977576,1.646002229371406,0.21388032797262369,-0.3137166689161739,-1.8908770108617066,1.6287482358903247,-0.6893322154993842,0.18308178103597228,1.6717126091377132,-0.13910468111339153,1.2307957392466287
BRD-K70821460-300-02-4,DMSO,BR00117013,N01,UGYXPZQILZRKJJ-UHFFFAOYSA-N,4-methylhistamine,37463.0,HRH4,trt,,Cc1nc[nH]c1CCN,5,0.35559380685842756,1.5606225091500536,-1.1617517080269981,0.15541009012580054,1.443736221723037,1.1618921975798115,1.0064155696412516,0.1649754720578918,-0.8720964474938536,-0.00870986286878122,-1.110080768966063,0.9249552105564672,-0.14418728343590845,0.4068880796526847,-1.8633544866153742,0.4793857928637603,-0.6670820289369033,-0.8798376898497641,0.25953446731875507,0.13691130249070824,0.12719711527184577,-0.5992771931552737,-0.10590994714148126,-0.1055092651419302,32.107904224157565,2.219460612927637,-0.18105509381924398,-0.026564106880952815,0.9047492678688415,-0.673810992631296,0.6697859361660774,-0.5775107415067182,-0.059410289383701534,-0.2517810342679743,-0.26157600073645,0.2689557481322515,-0.6338520921886689,-0.6595225868100797,0.45447459027024206,36.609384622561876,0.20351915067695864,-1.1837649152507406,-0.7151231254492593,-0.9419755001400107,-0.2901188426403805,-0.08249497931985958,-0.03128813060696612,1.1230537952462711,0.44241651639529733,1.330602504863647,-0.0027931670256272183,-0.0769431927770424,0.2352884917464437,0.1618161540655471,-0.17232452207975163,-0.10724072834832549,0.5411641558717155,-0.6399570640664968,0.578688183910143,-0.09874769933661287,7.06859261019233,0.17901885311226146,0.12516531350170687,-0.24242234248962471,0.6179606989351396,16.157999252401645,-0.4299367013901957,-0.8748194828486908,0.4680336318062752,1.6776374676880832,-1.5109584006214924,0.2807542016493483,-0.05654229260470982,1.1588030635242366,-0.5384168652225176,0.3433754786109808,0.5234335488945304,-0.26972698466247974,-0.05955906142983749,-0.5179377455030875,-1.2908343425955462,-0.2943191411301655,2.3151381261061363,-0.7608905197415963,0.3828482055686414,3.140004919049808,-1.2206247432754402,-0.16448255027823713,-0.7532663386727838,-0.33734364122072014,7.967147800592587,12.700350135412672,-0.242573401124497,1.8425088344470866,27.344106386057135,73.53273427741487,-0.0037778186238580074,-0.3076189372759473,0.18101121276631088,0.4060874041016718,-0.332499697705445,-0.07805639387067513,-0.508394062505727,-0.30618778660596535,0.15057048955509508,0.09819855602889493,0.299146468775848,-0.24962522488022063,-0.454698673148833,-1.8819595265639757,-1.4293284748638442,20.89465478331432,5.825345129902163,2.012542366743822,1.6218650580062002,0.8503103315297224,0.5307374218216004,0.0006402426472011495,0.2246779578129191,-0.48548405613650003,0.15473219224847987,0.42777467514595713,-0.29007856528868037,1.179348302034451,-0.3492477121190839,-0.21380415987874707,-0.258957430313873,-0.5212119298509119
BRD-K45293975-001-02-0,DMSO,BR00117013,L04,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,7-hydroxystaurosporine,3078500.0,PDPK1,trt,,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4[C@H](O)NC(=O)c4c4c5ccccc5n2c4c13,6,0.43141870473993466,-0.872781175261147,10.306339626879048,-0.10582761821687578,-0.6887289702298036,0.5519148380589739,0.56782343533746,0.9924277210857315,-0.7578614861954593,-0.17597204156966084,-0.06781405200816329,-1.0140084620101426,-0.4053231592633164,0.3932551324548092,0.37237844359117817,0.2226408837271811,-0.6670927527443175,1.3670374905378615,-0.13544161906421712,31.70773866365205,1.0305855279147178,1.0348696550076133,0.4741117123739598,-0.33752346948424433,-0.48647035841739905,-0.4921013452690652,-1.8067575643473857,-0.3741287170825404,-0.6232085997110354,0.37269056390679306,-0.08750693805828344,0.10508307552904052,2.454970409212504,0.018727020421565613,-0.8369149615017732,-0.02726249228324792,0.12325885447470761,-0.4230326877098864,-0.5176672113095926,-0.22615630151140875,-0.15180381077545685,-0.1729614213264904,0.0655106572800587,-0.2139637802616835,0.3211608915852253,-0.6882344239136344,-0.006313811769788931,-0.020347179154840158,-0.928944965550772,-0.4326926948625534,0.25342363391768324,-0.20316083475125976,-0.313543564238869,0.7719448639438082,-0.2484587398579111,0.3456509403820333,11.665977500389326,1.188528410307537,0.24297193323309954,0.21672631742884013,0.0014903864016179516,0.2920853671791383,-0.2597265308163941,0.03825994268740507,-1.2415258836975513,-0.2950633391699556,0.06581001855652648,-0.8084018853338973,-0.28816415376697063,-0.6767716723575767,1.1908899546806007,29.46712701865475,0.3520854854959627,-0.6782387282907496,0.2404751489946048,-0.9862519599320374,-0.2161248140737539,0.634711064401125,-0.4661193028675852,-0.2576602157704867,-0.35323164919633887,0.04649700109885541,-0.6685392064099341,0.2558707153869885,-0.7255191643185137,-0.6808408926995231,0.11654139811186559,0.024723055753402504,1.0896856491028761,0.16500442290243708,-0.22455111429149413,-0.1163764862812539,0.543743421976528,-0.4617683183489011,0.7057880665310756,-0.12419742579602916,-0.48991107450281146,0.11245853463058349,0.79510356761195,-0.39504088645520763,-0.20330239240359915,0.1576135450290944,-0.1185164674332076,1.8013897326654962,0.021530166657296537,-0.15513582402874215,-0.3651507648770331,0.1041555203733781,-1.5371610237014686,1.228984989075407,0.4855811814869565,-0.08645904917774552,-0.035572868943609295,0.2132224579087145,0.7188836723121641,0.11615780707736648,-0.23136209567598146,-0.5681031590671121,-0.18990813202796786,0.4835952155402515,-0.0654835980829892,-0.7783313868290821,-0.15346502858709501,-0.6756053689152934,0.38169008771269036,0.6740101255945843,0.08254787225847157,0.8594302665016705
BRD-K68982262-001-01-4,DMSO,BR00117013,P20,DJKJVWJQAVGLHJ-YPMHNXCESA-N,A-987306,25109000.0,CCR1,trt,,Nc1nc(N2CCNCC2)c2CCC3=C([C@@H]4CCCC[C@@H]4O3)c2n1,7,0.1413397411040928,0.09953106671966143,-0.9875335121940662,4.301662070814344,-0.7080634044703333,0.7911540619972818,0.13977315000178894,84.94292708970619,-0.8416007967811989,0.10803021777856367,-0.6815891966487322,0.9852111485547319,-1.1087771191364661,-0.281322165955856,-0.12813120077196222,1.017580796549201,-0.6611949375003647,-0.0016737446296309915,-0.5962268630238894,0.3272147402618347,-0.1563738446397856,2.7260204564891706,0.9830774580538514,-1.3548993184444056,0.006540096286762015,-0.4772936211526149,0.21105582589000454,-0.6958083746875365,0.6084885226429704,-0.3798654330041067,0.8294623645868701,0.18982828940943997,2.267429489625291,0.01692116460481299,-0.7923704236270258,0.09731405755911474,-0.011676162219309841,-1.424060509805387,-0.5499519449655859,0.01376401242398737,0.45115037633116534,-0.675596048396573,0.2808073465108288,0.08526126831181519,-0.13116871944247302,-0.6862316785806852,-0.525509583568829,0.05699804911239167,1.0557502675479253,0.2712588691800474,0.5898414884479382,-0.4063100246279873,-0.20422252808459473,0.32168690295016605,0.7061532428991584,-0.4401857622272381,0.5510914497180947,1.05508954610279,0.007471052357250645,-0.05625217159639357,32.70033950268698,0.002009084856326024,0.20504277946659943,0.5557326370996568,0.4165366675515783,2.086339193512009,-0.14139196496040712,-1.7530721605134707,0.10820601088910337,0.3916701934065754,-1.944607112798991,57.874791683488006,-0.23804595795781167,0.6565312102394101,0.2017081346614452,-1.7654942556322337,0.593485335025297,-0.19973552396049152,0.6109466074620897,0.54411701260513,-0.5478407065654082,-0.5402146114606194,-0.6664280272867517,0.5491151866491037,0.6381361158511617,-0.6703134987927742,1.365731356515428,0.6991506271336704,0.5074947245155877,-1.365513113326216,-0.03873843426368054,12.05023723038364,0.32004067929809327,1.0089671004092966,-0.26487164166711646,13.372947753203922,0.27075078784233503,-1.6903440942672292,0.2661866800211541,-0.362668188079694,0.4655713517066856,1.0432044936282874,-1.099962750818674,-0.3420317837627172,0.2374965585115931,-0.4461571079304868,0.17702746844501588,-0.34514185772314776,-2.483669560096704,-0.8140352529466672,-0.5398779290736535,0.1712395621768553,-0.15239032440960568,0.43303130059032113,0.20738410066263768,0.6420113614836118,1.0522899074185101,-0.011163802119293926,-0.15205380633889962,0.19331409199289085,0.7539691239915163,0.892141201150361,-1.0990293510752025,-0.5653048288798608,0.6057299276136535,0.8447985251804653,-0.9601405651304405,-1.2328593061520063
BRD-K77627880-001-04-0,DMSO,BR00117013,M06,QQGWEXFLMJGCAL-UHFFFAOYSA-N,A205804,9839300.0,ICAM1,trt,,Cc1ccc(Sc2cncc3sc(cc23)C(N)=O)cc1,8,-2.6201593021763054,-0.9202106305379328,123.67506044758781,-2.337382825111931,-0.660152282712787,-1.263745004651639,-0.6778870371731279,-1.2736910055424868,1.2493552103429744,2.4192166040785343,1.0707739136269956,0.7421404590292764,0.5015077677392391,1.2369726230007507,1.3317419642900106,-1.6482097798165187,3.2750412369757282,-0.7969557746080208,-0.5908088182249863,-1.0639623573355719,-1.105237399293144,26.609897000837012,-2.1470387394802195,0.6235641051368013,37.650556172805885,39.695802725001464,0.13491345135457844,43.77428145167256,1.514429817987663,-1.3194076182250758,0.553108524170807,0.5455024747470901,0.4814834401760774,0.5975883180199009,0.6253175931964617,141.93199980121884,-1.5096031602579896,0.6781477655774493,5.316702083579306,65.53192809577983,1.8547357180263995,0.23569982482596763,2.893278461299638,-1.0945294507628403,-2.7214905183954246,0.7032764374655192,-1.95958409682347,-0.4756178559840861,1.1106625569793975,-0.20420032377081068,1.6039119054132713,33.948089748377576,113.33739103344327,0.19646642120250704,1.2914582571812607,-2.3594178718788092,-1.0467991450025598,0.22110766434272755,0.868910613468217,-1.8492258341806418,72.34430590550866,-0.7237837955145962,1.3320379804296274,1.9755548884318748,1.947540765966354,142.8001797669881,1.3315270037194824,29.585013105441487,9.79263976026521,0.3216570295031022,1.285800646111361,26.97457077511305,0.522841614234184,1.1711879008061459,1.4865257574981128,-0.7703077797088715,-0.9814967648419041,0.7370064552433658,1.2784147533655217,-1.1617355870841823,0.6708180777911699,-1.012175192082045,1.0657790579521151,2.5921403014384414,-1.283573254490111,1.8360054028986552,-1.2131291380979847,-3.6591575557673215,-1.3844081708914184,1.8961317918996345,104.36957468955087,129.26562320428508,-1.2471461506433317,-2.2977085990434243,60.21716251708293,-1.5680741993247707,1.99521142301904,-0.8947681399220454,-1.0593116563103728,2.7907972521363456,0.941894215924683,-2.4709048434214504,0.3077111366113322,-0.6735180742426828,0.343420716188197,-1.365549855082438,162.5370026380453,-0.5045770425241218,1.0193928062920559,2.260255554258385,0.9817694635717802,166.36374219010008,-0.1170483331801563,0.06088105102313185,-2.1932066092347067,-2.0152638293062948,-1.147395019521001,2.2390972185180793,-2.8769062249781907,-1.0666767516593427,0.6544681136898326,0.6428457198525083,-0.5572337979072255,2.837071159977776,-1.4916197035129148,-1.4442528789711544,1.373230709359538,-0.7726470682554569
BRD-K15819326-001-01-6,DMSO,BR00117013,I03,JVCWPUFNLFSKFS-UHFFFAOYSA-N,AC-710,54760000.0,CSF1R,trt,,CCN1C(C)(C)CC(CC1(C)C)Oc1ccc(nc1)C(=O)Nc1ccc(NC(=O)Nc2cc(on2)C(C)(C)C)cc1,9,-0.37291570027666043,0.5444353241858502,-0.35778984302331696,0.6009446676498524,-0.6884430438175553,0.5183469422840126,-0.6736553841302538,0.877089559094139,-2.0240520211773405,-0.3163139337816902,-1.6372921830856417,0.9255114290773082,-1.5794291233541458,1.5484489185603838,-1.6450259418525757,-0.3771348696330056,-0.7061787681481944,-0.03733956086421686,0.16930482965325383,0.0012781946244946774,-0.22882687196684096,-0.5691199350315815,0.1023530895984558,-1.2038132559006878,-0.5630544640875383,4.395140061396192,0.17353000093800944,-0.47148020466012885,2.423077128082808,-0.702431455821019,6.375460974939652,-0.8688816749727519,0.8468831270585468,-1.4561319967841926,-1.7959059083120028,0.0737984166926467,-0.6086917553744362,-1.3228273843941392,0.44532548302996394,23.14293313466081,-0.11282501306392936,-0.47173120115866335,0.20747306807444663,-0.7803313728989496,-0.4126186129970534,-0.6816769924817522,-0.09472171609587222,0.16491581495235633,0.5748517371265243,0.22566866163349228,0.07619391587165203,-0.393684745964092,-0.14354768990551153,1.485960429428463,-0.3895909921535175,-0.2991486098635496,0.8170676564462745,0.6527990671848145,0.989231449309319,0.45549771785955356,0.5217317532987081,-0.1898905495582103,-0.05656867162247002,-0.013764497653362096,0.6581967972756478,30.703132868156825,0.07014286717161779,-2.0597084576645477,-0.7670078804023807,1.2851091273468331,-1.4767821234643315,154.9386666648569,-0.27408775066266955,0.8160357271754313,-0.5867570606863559,0.0970171722392536,-0.056398551911788525,-1.1771244220475048,-0.13586654490315161,-0.29369760222857416,-1.674063895143665,-0.6922744265898337,0.19310193094662112,0.7619604397832702,-0.049931081966203224,-0.6665334089180286,0.4347948704942849,0.017856667905637665,0.17514867545793236,-0.6195792206138888,16.009691025810568,14.879975287198693,0.1708358051941621,1.0535568625800693,-0.1714969090878052,31.819939760313318,-0.3720344779031078,-1.0670546309321562,-1.0094898628979754,-0.6741588970452933,0.06241038761573832,-0.16424969319937757,-1.3067729748800718,-1.1885817892427144,1.0606725144417941,0.13292925337479317,-0.0177737270483459,0.2027529487052404,-0.935579666030251,-0.894903467997771,-0.7347718464302955,0.23307950121193302,76.09497641342325,0.15984117303003362,0.11742830937617034,-0.0751161580277628,0.8897499906413501,-0.4141758905343522,-0.03275792519368984,0.2539843192044915,0.3075937016751678,2.6975350155798385,-1.5450719588469646,0.2888628201340355,0.3795065789152463,0.3064054538353603,-0.5023427695412698,-1.4564106440448266
